# theta_E,e1_mass,e2_mass,R_sersic_src,n_sersic_src,e1_src,e2_src,center_x_src,center_y_src,R_sersic_lens,n_sersic_lens,e1_lens,e2_lens
3.693171143531799316e-01,-2.472098767757415771e-01,-2.848488688468933105e-01,1.311336994171142578e+00,2.005082607269287109e+00,8.960552513599395752e-02,4.407479763031005859e-01,-6.935606598854064941e-01,7.375899553298950195e-01,4.404397308826446533e-01,4.014343738555908203e+00,6.739119440317153931e-02,1.259233104065060616e-03
2.596275091171264648e+00,2.078597992658615112e-01,-8.331121504306793213e-02,1.901717543601989746e+00,7.943297624588012695e-01,2.092256397008895874e-01,2.405557483434677124e-01,-6.460543870925903320e-01,-2.488788366317749023e-01,6.344912648200988770e-01,4.246267795562744141e+00,5.608331784605979919e-02,-3.477581143379211426e-01
2.763640403747558594e+00,-6.747409701347351074e-02,1.808617562055587769e-01,1.323829531669616699e+00,1.989113330841064453e+00,3.846918642520904541e-01,4.238095581531524658e-01,1.242564797401428223e+00,7.198077440261840820e-01,6.155413389205932617e-01,4.037154674530029297e+00,5.301390215754508972e-02,-5.084904432296752930e-01
8.353877663612365723e-01,-1.378836929798126221e-01,-5.278532505035400391e-01,1.975227355957031250e+00,1.992392778396606445e+00,-4.439572989940643311e-01,-3.913863897323608398e-01,4.027345478534698486e-01,3.857308626174926758e-01,1.728379487991333008e+00,4.074431419372558594e+00,-8.705516457557678223e-01,-4.989136010408401489e-02
2.968165874481201172e+00,7.938243448734283447e-02,4.662319719791412354e-01,1.567829251289367676e+00,2.023642778396606445e+00,-5.521560087800025940e-02,-1.647337973117828369e-01,-2.119870930910110474e-01,-1.814787983894348145e-01,1.118656024336814880e-01,4.179457664489746094e+00,-2.080837339162826538e-01,1.498260945081710815e-01
6.737875342369079590e-01,3.474384546279907227e-01,-7.657136023044586182e-02,1.926326155662536621e+00,1.762518167495727539e+00,-8.124626427888870239e-02,-2.310966998338699341e-01,6.264606118202209473e-01,-9.174873232841491699e-01,8.202535510063171387e-01,3.862190961837768555e+00,4.401751235127449036e-02,3.554513454437255859e-01
1.647421002388000488e+00,9.167975932359695435e-02,-1.277792304754257202e-01,2.144594937562942505e-01,4.957477748394012451e-01,1.353496406227350235e-02,-1.124681681394577026e-01,3.172944188117980957e-01,3.808209598064422607e-01,1.720117092132568359e+00,4.325731277465820312e+00,-3.703133165836334229e-01,-3.519719839096069336e-01
2.339418411254882812e+00,1.051863357424736023e-01,2.040560096502304077e-01,5.115797519683837891e-01,1.134916305541992188e+00,-4.583112299442291260e-01,-3.492092192173004150e-01,-3.121024370193481445e-01,-1.050090789794921875e-02,6.495830416679382324e-01,4.143763065338134766e+00,-2.774429619312286377e-01,-1.973996609449386597e-01
1.148364424705505371e+00,-2.313486188650131226e-01,5.828553810715675354e-02,1.576264739036560059e+00,1.131418704986572266e+00,2.332309186458587646e-01,-2.242287248373031616e-01,6.066994667053222656e-01,-1.042657196521759033e-01,4.288407862186431885e-01,3.663000345230102539e+00,-7.488405704498291016e-02,5.193864703178405762e-01
2.443856239318847656e+00,-2.271062135696411133e-01,1.283019781112670898e-01,2.432731091976165771e-01,2.272770643234252930e+00,3.051081858575344086e-02,9.323871880769729614e-02,-5.412310361862182617e-01,-2.460123300552368164e-01,1.702625632286071777e+00,3.956405639648437500e+00,-3.164081275463104248e-01,-5.620730519294738770e-01
2.236798286437988281e+00,1.194189339876174927e-01,-1.181306988000869751e-01,3.990091681480407715e-01,2.273670434951782227e+00,2.703193388879299164e-02,-2.476502582430839539e-02,4.865172207355499268e-01,6.895519495010375977e-01,1.820255517959594727e+00,3.971359968185424805e+00,-5.502163171768188477e-01,-5.469295382499694824e-01
2.482394933700561523e+00,-6.080155447125434875e-02,1.650932617485523224e-02,1.942100405693054199e+00,2.060804605484008789e+00,3.887412697076797485e-02,-5.757709145545959473e-01,-9.183095097541809082e-01,-3.726574182510375977e-01,7.840588688850402832e-01,4.368604183197021484e+00,-1.285893172025680542e-01,-1.040887609124183655e-01
