# theta_E,e1,e2,gamma1,gamma2,R_sersic,n_sersic,e1_src,e2_src,center_x_src,center_y_src
2.003237962722778320e+00,4.282342642545700073e-02,9.808514267206192017e-02,1.325268000364303589e-01,7.271017134189605713e-02,2.575858831405639648e-01,2.099489450454711914e+00,-1.343245357275009155e-01,-2.940772846341133118e-02,-2.928022742271423340e-01,-1.794482350349426270e+00
3.647647053003311157e-02,3.960484564304351807e-01,1.786552220582962036e-01,-3.344495594501495361e-02,1.869819015264511108e-01,2.700047194957733154e-01,2.024076223373413086e+00,-3.562416136264801025e-01,7.875942438840866089e-02,1.444821711629629135e-02,7.730289697647094727e-01
2.640736579895019531e+00,-4.796516150236129761e-02,2.020069211721420288e-01,1.449877768754959106e-01,1.954543441534042358e-01,7.510681748390197754e-01,2.251074314117431641e+00,8.042975664138793945e-01,2.187413126230239868e-01,-2.573752105236053467e-01,1.854855120182037354e-01
1.759790480136871338e-01,-1.803262680768966675e-01,5.019516944885253906e-01,-1.714441776275634766e-01,-1.280356347560882568e-01,9.742902517318725586e-01,1.862725019454956055e+00,-7.743075489997863770e-01,-2.408689707517623901e-01,-7.957760691642761230e-01,3.600871562957763672e-01
2.904878616333007812e+00,-2.111841291189193726e-01,-2.475470453500747681e-01,-1.429633796215057373e-01,-1.582807302474975586e-02,3.654685914516448975e-01,5.843171477317810059e-01,-2.178199142217636108e-01,3.563839197158813477e-01,-1.111786246299743652e+00,-6.322237197309732437e-03
1.174476861953735352e+00,1.794620603322982788e-01,3.746261596679687500e-01,1.582839936017990112e-01,1.842892318964004517e-01,4.011311829090118408e-01,1.922627449035644531e+00,-1.982374787330627441e-01,1.118373721837997437e-01,2.361911088228225708e-01,-9.861223697662353516e-01
2.668350934982299805e+00,4.441365301609039307e-01,-1.722877728752791882e-03,-1.619026362895965576e-01,1.818664371967315674e-02,1.192854642868041992e+00,9.907262325286865234e-01,-6.765122711658477783e-02,4.197460412979125977e-01,-8.162411861121654510e-03,8.159006834030151367e-01
2.610333561897277832e-01,7.993917912244796753e-02,-3.727057576179504395e-02,1.000325232744216919e-01,1.983392983675003052e-01,2.022128552198410034e-01,2.192896842956542969e+00,2.839463353157043457e-01,2.321729362010955811e-01,3.347907960414886475e-01,-2.790432572364807129e-01
8.349142670631408691e-01,4.808128774166107178e-01,-6.201530694961547852e-01,1.212923675775527954e-01,-2.201478183269500732e-02,1.285803765058517456e-01,1.082418322563171387e+00,2.430668324232101440e-01,-2.100730240345001221e-01,-1.366949826478958130e-01,9.178143143653869629e-01
1.868189692497253418e+00,3.580652475357055664e-01,-2.840134501457214355e-01,9.771265089511871338e-02,3.341512382030487061e-02,8.635959625244140625e-01,2.065232038497924805e+00,-3.184491991996765137e-01,3.038439750671386719e-01,6.213822364807128906e-01,-1.538779288530349731e-01
2.693611145019531250e+00,1.413896232843399048e-01,-3.032668530941009521e-01,-1.225494220852851868e-01,1.065260022878646851e-01,1.791397571563720703e+00,1.262004852294921875e+00,-2.662288248538970947e-01,4.762872681021690369e-02,-8.969027549028396606e-03,1.403213739395141602e-01
2.744928836822509766e+00,4.444067552685737610e-02,-4.175938069820404053e-01,5.565549433231353760e-02,8.956058323383331299e-02,6.989561915397644043e-01,1.144079923629760742e+00,2.794734239578247070e-01,4.646286070346832275e-01,6.136809010058641434e-03,1.085958164185285568e-02
2.640381097793579102e+00,1.777447387576103210e-02,4.482109844684600830e-02,-7.026620209217071533e-02,1.801973134279251099e-01,4.999968111515045166e-01,1.897216081619262695e+00,-2.538205087184906006e-01,3.289538621902465820e-01,-9.794498085975646973e-01,-9.603632092475891113e-01
2.854911327362060547e+00,1.105507239699363708e-01,-1.300469413399696350e-02,6.931699812412261963e-02,1.094751209020614624e-01,5.834146738052368164e-01,1.797563314437866211e+00,5.515674352645874023e-01,7.382861524820327759e-02,-5.296720191836357117e-02,-4.762171208858489990e-01
5.263166427612304688e-01,2.509359717369079590e-01,-1.331912130117416382e-01,8.268295228481292725e-02,-1.941300779581069946e-01,5.223422050476074219e-01,9.899211525917053223e-01,-7.331687957048416138e-02,3.436428308486938477e-02,9.887976199388504028e-02,-2.188777476549148560e-01
2.303249597549438477e+00,-2.228668928146362305e-01,-8.124890923500061035e-02,8.085824549198150635e-02,1.363120824098587036e-01,2.146083116531372070e-01,1.022082567214965820e+00,-5.599782466888427734e-01,3.137825429439544678e-01,2.176603376865386963e-01,1.295088648796081543e+00
